9.1.1 RELAÇÃO DE INSCRITOS POR VAGAS,,,,
Unidade,Ano,Inscritos,Vagas,Relação Inscritos/Vagas
Campus Almenara,2018,2.624,778,"3,4"
,2019,1.515,440,"3,4"
,2020,3.710,696,"5,3"
,2021,2.686,448,"6,0"
,2022,2.212,551,"4,0"
Campus Araçuaí,2018,1.243,389,"3,2"
,2019,2.542,752,"3,4"
,2020,2.753,817,"3,4"
,2021,3.098,567,"5,5"
,2022,2.923,532,"5,5"
Campus Arinos,2018,2.895,1.434,"2,0"
,2019,1.202,531,"2,3"
,2020,2.195,971,"2,3"
,2021,2.938,881,"3,3"
,2022,3.115,511,"6,1"
Campus Avançado Janaúba,2018,1.742,1.353,"1,3"
,2019,1.614,526,"3,1"
,2020,3.471,765,"4,5"
,2021,1.124,299,"3,8"
,2022,2.299,745,"3,1"
Campus Avançado Porteirinha,2018,1.262,491,"2,6"
,2019,2.338,2.288,"1,0"
,2020,957,558,"1,7"
,2021,2.425,1.639,"1,5"
,2022,2.069,325,"6,4"
Campus Diamantina,2018,527,129,"4,1"
,2019,3.792,1.366,"2,8"
,2020,5.590,2.266,"2,5"
,2021,20.014,2.508,"8,0"
,2022,3.658,364,"10,0"
Campus Januária,2018,6.620,1.145,"5,8"
,2019,5.998,810,"7,4"
,2020,6.541,1.059,"6,2"
,2021,9.090,1.525,"6,0"
,2022,7.114,1.153,"6,2"
Campus Montes Claros,2018,7.278,1.677,"4,3"
,2019,6.696,910,"7,4"
,2020,6.124,2.732,"2,2"
,2021,6.421,681,"9,4"
,2022,7.324,709,"10,3"
Campus Pirapora,2018,3.836,687,"5,6"
,2019,4.145,1.619,"2,6"
,2020,2.864,755,"3,8"
,2021,2.866,501,"5,7"
,2022,5.517,1.122,"4,9"
Campus Salinas,2018,5.237,725,"7,2"
,2019,3.285,556,"5,9"
,2020,4.905,904,"5,4"
,2021,4.257,790,"5,4"
,2022,4.038,671,"6,0"
Campus Teófilo Otoni,2018,981,389,"2,5"
,2019,2.806,949,"3,0"
,2020,1.099,447,"2,5"
,2021,2.968,812,"3,7"
,2022,2.161,859,"2,5"
Centro de Referência Corinto,2018,898,250,"3,6"
,2019,704,300,"2,3"
,2020,513,362,"1,4"
,2021,0,0,-
,2022,1.058,480,"2,2"
Centro de Referência em Educação a Distância,2018,9.117,3.332,"2,7"
,2019,9.831,1.158,"8,5"
,2020,16.113,6.036,"2,7"
,2021,5.292,1.519,"3,5"
,2022,337,480,"0,7"
TOTAL IFNMG,2018,44.260,12.779,"3,5"
,2019,46.468,12.205,"3,8"
,2020,56.835,18.368,"3,1"
,2021,63.179,12.170,"5,2"
,2022,43.825,8.502,"5,2"