9.1.2 INGRESSANTES E MATRÍCULAS,,,,
Unidade,Ano,Ingressantes,Matrículas,Relação Ingressantes/Matrículas
Campus Almenara,2018,762,1.598,"47,68"
,2019,445,1.273,"34,96"
,2020,694,1.462,"47,47"
,2021,436,1.301,"33,51"
,2022,530,1.644,"32,24"
Campus Araçuaí,2018,375,1.229,"30,51"
,2019,604,1.274,"47,41"
,2020,753,1.557,"48,36"
,2021,538,1.571,"34,25"
,2022,475,1.697,"27,99"
Campus Arinos,2018,731,1.548,"47,22"
,2019,555,1.919,"28,92"
,2020,945,2.143,"44,10"
,2021,757,1.774,"42,67"
,2022,600,2.117,"28,34"
Campus Avançado Janaúba,2018,774,966,"80,12"
,2019,543,1.351,"40,19"
,2020,706,1.530,"46,14"
,2021,296,976,"30,33"
,2022,615,1.042,"59,02"
Campus Avançado Porteirinha,2018,462,1.520,"30,39"
,2019,1.599,1.903,"84,03"
,2020,517,2.112,"24,48"
,2021,1.079,1.879,"57,42"
,2022,270,1.160,"23,28"
Campus Diamantina,2018,129,306,"42,16"
,2019,1.202,1.337,"89,90"
,2020,2.254,3.134,"71,92"
,2021,2.461,2.885,"85,30"
,2022,336,1.210,"27,77"
Campus Januária,2018,1.247,4.728,"26,37"
,2019,815,3.139,"25,96"
,2020,1.068,3.362,"31,77"
,2021,1.363,3.638,"37,47"
,2022,1.095,3.501,"31,28"
Campus Montes Claros,2018,1.203,1.941,"61,98"
,2019,584,1.677,"34,82"
,2020,1.886,2.740,"68,83"
,2021,579,1.648,"35,13"
,2022,543,1.829,"29,69"
Campus Pirapora,2018,668,1.618,"41,29"
,2019,1.047,2.298,"45,56"
,2020,812,2.555,"31,78"
,2021,512,2.153,"23,78"
,2022,1.085,2.912,"37,26"
Campus Salinas,2018,735,2.561,"28,70"
,2019,643,2.024,"31,77"
,2020,933,2.550,"36,59"
,2021,713,2.444,"29,17"
,2022,584,2.537,"23,02"
Campus Teófilo Otoni,2018,382,641,"59,59"
,2019,830,1.095,"75,80"
,2020,362,1.187,"30,50"
,2021,754,1.560,"48,33"
,2022,799,1.743,"45,84"
Centro de Referência Corinto,2018,235,236,"99,58"
,2019,186,418,"44,50"
,2020,337,701,"48,07"
,2021,-,233,-
,2022,309,401,"77,06"
Centro de Referência em Educação a Distância,2018,2.296,6.785,"33,84"
,2019,1.584,6.664,"23,77"
,2020,5.750,9.954,"57,77"
,2021,1.409,3.704,"38,04"
,2022,232,2.038,"11,38"
TOTAL IFNMG,2018,9.999,25.677,"38,94"
,2019,10.637,26.372,"40,33"
,2020,17.017,34.987,"48,64"
,2021,10.897,25.766,"42,29"
,2022,7.473,23.831,"31,36"